utc,elapsed_s,phase,cpu_percent,gpu_percent,memory_used_mb,load1,max_temp_c
2026-08-22T08:54:22.048033+00:00,0.503,steady,53.700,57.100,4120.949,3.564,56.687
2026-08-22T08:54:22.552155+00:00,1.007,steady,58.400,63.800,4140.367,3.564,56.937
2026-08-22T08:54:23.055544+00:00,1.511,steady,64.100,58.700,4128.027,3.564,56.781
2026-08-22T08:54:23.559551+00:00,2.015,steady,53.400,66.600,4137.965,3.564,56.687
2026-08-22T08:54:24.062673+00:00,2.518,steady,45.300,56.100,4141.898,3.564,56.750
2026-08-22T08:54:24.566027+00:00,3.021,steady,46.900,53.800,4147.012,3.564,56.906
2026-08-22T08:54:25.068931+00:00,3.524,steady,45.200,68.100,4162.324,3.564,57.343
2026-08-22T08:54:25.572325+00:00,4.028,steady,51.600,61.900,4176.227,3.519,56.843
2026-08-22T08:54:26.075606+00:00,4.531,steady,41.500,68.500,4179.039,3.519,56.968
2026-08-22T08:54:26.579579+00:00,5.035,steady,58.400,41.100,4188.066,3.519,57.312
2026-08-22T08:54:27.082498+00:00,5.538,steady,58.600,57.600,4192.477,3.519,57.093
2026-08-22T08:54:27.585940+00:00,6.041,steady,53.200,70.100,4196.430,3.519,57.156
2026-08-22T08:54:28.088939+00:00,6.544,steady,36.500,66.300,4198.852,3.519,57.281
2026-08-22T08:54:28.591824+00:00,7.047,steady,45.700,11.500,4205.879,3.519,57.031
2026-08-22T08:54:29.094593+00:00,7.550,steady,41.400,71.500,4210.051,3.519,57.062
2026-08-22T08:54:29.597853+00:00,8.053,steady,44.400,66.900,4211.328,3.519,56.843
2026-08-22T08:54:30.101062+00:00,8.556,steady,49.300,70.500,4209.098,3.519,57.343
2026-08-22T08:54:30.604425+00:00,9.060,steady,54.100,77.000,4208.492,3.638,57.031
2026-08-22T08:54:31.107667+00:00,9.563,steady,40.400,59.500,4206.738,3.638,56.906
2026-08-22T08:54:31.611577+00:00,10.067,steady,36.200,63.100,4210.750,3.638,57.125
2026-08-22T08:54:32.115214+00:00,10.571,steady,44.100,64.600,4214.016,3.638,57.093
2026-08-22T08:54:32.618446+00:00,11.074,steady,43.900,57.000,4218.797,3.638,56.968
2026-08-22T08:54:33.121245+00:00,11.577,steady,46.700,53.000,4224.254,3.638,57.312
2026-08-22T08:54:33.624802+00:00,12.080,steady,41.700,61.300,4225.527,3.638,57.031
2026-08-22T08:54:34.127467+00:00,12.583,steady,38.000,63.700,4226.277,3.638,56.968
2026-08-22T08:54:34.631218+00:00,13.086,steady,60.700,58.700,4238.992,3.638,57.375
2026-08-22T08:54:35.134494+00:00,13.590,steady,58.300,61.100,4195.164,3.638,57.156
2026-08-22T08:54:35.638596+00:00,14.094,steady,50.800,65.700,4150.922,3.827,57.093
2026-08-22T08:54:36.141517+00:00,14.597,steady,42.600,64.900,4156.488,3.827,57.437
2026-08-22T08:54:36.644827+00:00,15.100,steady,44.300,63.200,4162.543,3.827,57.218
2026-08-22T08:54:37.147549+00:00,15.603,steady,52.000,63.700,4177.945,3.827,57.093
2026-08-22T08:54:37.650300+00:00,16.106,stress,49.600,62.800,4108.965,3.827,57.062
2026-08-22T08:54:38.153052+00:00,16.608,stress,41.800,60.300,4143.941,3.827,56.875
2026-08-22T08:54:38.655897+00:00,17.111,stress,42.800,61.900,4146.043,3.827,57.468
2026-08-22T08:54:39.158993+00:00,17.614,stress,41.800,64.700,4145.512,3.827,57.062
2026-08-22T08:54:39.661891+00:00,18.117,stress,40.000,59.700,4147.145,3.827,57.000
2026-08-22T08:54:40.165042+00:00,18.620,stress,42.800,63.500,4151.848,3.841,57.156
2026-08-22T08:54:40.668526+00:00,19.124,stress,40.000,64.600,4147.793,3.841,56.937
2026-08-22T08:54:41.171413+00:00,19.627,stress,40.200,61.400,4146.594,3.841,57.187
2026-08-22T08:54:41.674283+00:00,20.130,stress,39.500,60.800,4147.914,3.841,57.187
2026-08-22T08:54:42.178199+00:00,20.633,stress,40.600,65.300,4145.875,3.841,56.937
2026-08-22T08:54:42.681556+00:00,21.137,stress,39.500,63.300,4147.488,3.841,57.281
2026-08-22T08:54:43.184338+00:00,21.640,stress,39.600,60.100,4146.250,3.841,57.062
2026-08-22T08:54:43.687118+00:00,22.142,stress,40.000,63.400,4145.137,3.841,57.406
2026-08-22T08:54:44.190009+00:00,22.645,stress,39.500,66.800,4147.438,3.841,57.156
2026-08-22T08:54:44.693379+00:00,23.149,stress,39.400,60.100,4148.652,3.841,57.093
2026-08-22T08:54:45.196533+00:00,23.652,stress,36.000,36.100,4150.309,3.854,57.343
2026-08-22T08:54:45.699648+00:00,24.155,stress,34.300,58.200,4150.699,3.854,57.093
2026-08-22T08:54:46.202338+00:00,24.658,stress,35.100,63.600,4157.707,3.854,57.187
2026-08-22T08:54:46.705056+00:00,25.160,stress,35.600,61.500,4160.926,3.854,57.375
2026-08-22T08:54:47.208588+00:00,25.664,stress,45.000,59.500,4171.070,3.854,57.156
