    PID COMMAND         %CPU %MEM     ELAPSED COMMAND
   3284 code            50.2  2.0       26:11 /usr/share/code/code --type=zygote --no-zygote-sandbox
   3454 code            29.4  2.6       26:06 /usr/share/code/code --type=zygote
   2163 gnome-shell     25.7  3.0       26:33 /usr/bin/gnome-shell
   3318 code            12.5  2.5       26:11 /usr/share/code/code --type=zygote
   1581 Xorg             8.7  1.3       26:35 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -nolisten tcp -background none -noreset -keeptty -novtswitch -verbose 3
   3249 code             5.3  1.2       26:12 /usr/share/code/code
   3380 code             4.2  2.8       26:09 /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=zh-CN --service-sandbox-type=none --dns-result-order=ipv4first --experimental-network-inspection --inspect-port=0 --js-flags=--nodecommit_pooled_pages --crashpad-handler-pid=3271 --enable-crash-reporter=c0979852-d46e-4e28-9fe0-e62029d59c03,no_channel --user-data-dir=/home/auv_dev/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,8022810612685921947,9017695881838665152,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708991934122588
   3505 codex            3.0  0.7       26:05 /home/auv_dev/.vscode/extensions/openai.chatgpt-26.803.61601-linux-arm64/bin/linux-aarch64/codex -c features.code_mode_host=true app-server --analytics-default-enabled
    297 irq/198-gk20a_s  2.8  0.0       26:40 [irq/198-gk20a_s]
   3410 code             2.8  0.7       26:08 /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=zh-CN --service-sandbox-type=none --js-flags=--nodecommit_pooled_pages --crashpad-handler-pid=3271 --enable-crash-reporter=c0979852-d46e-4e28-9fe0-e62029d59c03,no_channel --user-data-dir=/home/auv_dev/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,8022810612685921947,9017695881838665152,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708992871164437
   7826 mihomo-party     2.6  1.1       19:58 /proc/self/exe --type=renderer --enable-crash-reporter=e839b5e6-4d79-4eaf-a633-b259c82c7a36,no_channel --user-data-dir=/home/auv_dev/.config/mihomo-party --app-path=/opt/clash-party/resources/app.asar --no-sandbox --no-zygote --lang=zh-CN --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=4 --time-ticks-at-unix-epoch=-1787387253799180 --launch-time-ticks=409102431 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,9521459717119600767,2171984196174954307,262144 --enable-features=PdfUseShowSaveFilePicker --disable-features=ScreenAIOCREnabled,SpareRendererForSitePerProcess --variations-seed-version
  13438 nautilus         2.3  0.4       10:15 /usr/bin/nautilus --gapplication-service
   7510 mihomo-party     1.9  1.3       20:00 /opt/clash-party/mihomo-party --type=zygote --no-zygote-sandbox
   7767 mihomo           1.7  0.2       19:59 /opt/clash-party/resources/sidecar/mihomo -d /home/auv_dev/.config/mihomo-party/work -ext-ctl-unix /tmp/mihomo-party-1000-7472.sock
   8616 pytho <defunct>  1.3  0.0       16:11 [python3] <defunct>
     14 ksoftirqd/0      1.2  0.0       26:47 [ksoftirqd/0]
   7472 mihomo-party     0.8  1.2       20:01 /opt/clash-party/mihomo-party
    928 nvgpu_channel_p  0.7  0.0       26:36 [nvgpu_channel_p]
   2794 fcitx5           0.6  0.6       26:30 /usr/bin/fcitx5
  15920 code             0.6  0.6       01:09 /usr/share/code/code --type=zygote
    791 sugov:0          0.4  0.0       26:36 [sugov:0]
   1467 nxserver.bin     0.4  0.7       26:35 /usr/NX/bin/nxserver.bin --daemon
   2799 gnome-software   0.4  1.2       26:30 /usr/bin/gnome-software --gapplication-service
    349 systemd-udevd    0.3  0.0       26:40 /lib/systemd/systemd-udevd
    506 irq/214-tegra_d  0.3  0.0       26:39 [irq/214-tegra_d]
    777 snapd            0.3  0.3       26:36 /snap/snapd/current/usr/lib/snapd/snapd
   3365 code             0.3  0.6       26:09 /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=zh-CN --service-sandbox-type=none --js-flags=--nodecommit_pooled_pages --crashpad-handler-pid=3271 --enable-crash-reporter=c0979852-d46e-4e28-9fe0-e62029d59c03,no_channel --user-data-dir=/home/auv_dev/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,8022810612685921947,9017695881838665152,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708990997080739
   3411 code             0.3  0.7       26:08 /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=zh-CN --service-sandbox-type=none --js-flags=--nodecommit_pooled_pages --crashpad-handler-pid=3271 --enable-crash-reporter=c0979852-d46e-4e28-9fe0-e62029d59c03,no_channel --user-data-dir=/home/auv_dev/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,8022810612685921947,9017695881838665152,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708993808206286
  10247 kworker/0:2-eve  0.3  0.0       15:10 [kworker/0:2-events]
      1 systemd          0.2  0.0       26:47 /sbin/init 2
    301 kworker/u16:7-e  0.2  0.0       26:40 [kworker/u16:7-events_freezable_power_]
   2621 xdg-desktop-por  0.2  0.3       26:31 /usr/libexec/xdg-desktop-portal-gnome
   3293 code             0.2  0.4       26:11 /proc/self/exe --type=utility --utility-sub-type=network.mojom.NetworkService --lang=zh-CN --service-sandbox-type=none --crashpad-handler-pid=3271 --enable-crash-reporter=c0979852-d46e-4e28-9fe0-e62029d59c03,no_channel --user-data-dir=/home/auv_dev/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,8022810612685921947,9017695881838665152,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708989122997041
    139 kswapd0          0.1  0.0       26:47 [kswapd0]
    154 pr/ttyTCU0       0.1  0.0       26:45 [pr/ttyTCU0]
    222 jbd2/nvme0n1p1-  0.1  0.0       26:41 [jbd2/nvme0n1p1-]
    267 systemd-journal  0.1  0.0       26:40 /lib/systemd/systemd-journald
    322 systemd-udevd    0.1  0.0       26:40 /lib/systemd/systemd-udevd
    755 polkitd          0.1  0.0       26:36 /usr/libexec/polkitd --no-debug
