mode,iter,wall_ms,ipopt_ms,solver_status,timing_source
cold,0,82.9285,75.3486,Solve_Succeeded,wall_perf_counter
cold,1,85.9892,78.6642,Solve_Succeeded,wall_perf_counter
cold,2,80.6140,73.4105,Solve_Succeeded,wall_perf_counter
cold,3,76.7019,69.7455,Solve_Succeeded,wall_perf_counter
cold,4,85.5163,78.3755,Solve_Succeeded,wall_perf_counter
cold,5,81.5965,74.4371,Solve_Succeeded,wall_perf_counter
cold,6,85.2261,77.8144,Solve_Succeeded,wall_perf_counter
cold,7,81.0679,73.7118,Solve_Succeeded,wall_perf_counter
cold,8,141.6269,134.3007,Solve_Succeeded,wall_perf_counter
cold,9,117.2924,110.1841,Solve_Succeeded,wall_perf_counter
cold,10,127.2574,120.1714,Solve_Succeeded,wall_perf_counter
cold,11,99.7068,92.4569,Solve_Succeeded,wall_perf_counter
cold,12,76.4241,69.1976,Solve_Succeeded,wall_perf_counter
cold,13,82.9995,75.8298,Solve_Succeeded,wall_perf_counter
cold,14,78.0082,70.9199,Solve_Succeeded,wall_perf_counter
cold,15,111.0855,103.9177,Solve_Succeeded,wall_perf_counter
cold,16,71.7839,64.3789,Solve_Succeeded,wall_perf_counter
cold,17,114.9958,107.8518,Solve_Succeeded,wall_perf_counter
cold,18,69.1888,61.8978,Solve_Succeeded,wall_perf_counter
cold,19,73.2339,66.0471,Solve_Succeeded,wall_perf_counter
cold,20,89.9601,82.6075,Solve_Succeeded,wall_perf_counter
cold,21,81.6950,74.2713,Solve_Succeeded,wall_perf_counter
cold,22,75.7783,68.4244,Solve_Succeeded,wall_perf_counter
cold,23,79.6718,72.5110,Solve_Succeeded,wall_perf_counter
cold,24,92.3988,85.3360,Solve_Succeeded,wall_perf_counter
cold,25,80.7184,73.1016,Solve_Succeeded,wall_perf_counter
cold,26,76.9186,69.6376,Solve_Succeeded,wall_perf_counter
cold,27,76.3024,68.9660,Solve_Succeeded,wall_perf_counter
cold,28,65.3586,57.8860,Solve_Succeeded,wall_perf_counter
cold,29,89.6387,82.4375,Solve_Succeeded,wall_perf_counter
cold,30,138.2850,131.0537,Solve_Succeeded,wall_perf_counter
cold,31,105.2285,98.0094,Solve_Succeeded,wall_perf_counter
cold,32,90.9543,83.6798,Solve_Succeeded,wall_perf_counter
cold,33,89.2084,82.0598,Solve_Succeeded,wall_perf_counter
cold,34,73.6867,66.3999,Solve_Succeeded,wall_perf_counter
cold,35,58.3830,51.2101,Solve_Succeeded,wall_perf_counter
cold,36,92.0575,84.8222,Solve_Succeeded,wall_perf_counter
cold,37,88.1459,80.5506,Solve_Succeeded,wall_perf_counter
cold,38,91.8031,84.6507,Solve_Succeeded,wall_perf_counter
cold,39,88.7397,81.3658,Solve_Succeeded,wall_perf_counter
cold,40,57.5610,49.8771,Solve_Succeeded,wall_perf_counter
cold,41,52.3402,45.2406,Solve_Succeeded,wall_perf_counter
cold,42,52.3956,45.2678,Solve_Succeeded,wall_perf_counter
cold,43,48.1324,40.6512,Solve_Succeeded,wall_perf_counter
cold,44,48.3262,40.8769,Solve_Succeeded,wall_perf_counter
cold,45,48.0406,40.8957,Solve_Succeeded,wall_perf_counter
cold,46,47.9082,40.8513,Solve_Succeeded,wall_perf_counter
cold,47,47.6634,40.5432,Solve_Succeeded,wall_perf_counter
cold,48,46.4498,39.3501,Solve_Succeeded,wall_perf_counter
cold,49,45.8961,38.6462,Solve_Succeeded,wall_perf_counter
