mode,iter,wall_ms,ipopt_ms,solver_status,timing_source
warm,0,80.7072,73.5881,Solve_Succeeded,wall_perf_counter
warm,1,89.5332,82.1764,Solve_Succeeded,wall_perf_counter
warm,2,71.8860,64.2367,Solve_Succeeded,wall_perf_counter
warm,3,50.6361,43.0199,Solve_Succeeded,wall_perf_counter
warm,4,60.1498,52.7730,Solve_Succeeded,wall_perf_counter
warm,5,56.3983,48.9083,Solve_Succeeded,wall_perf_counter
warm,6,58.6071,51.1905,Solve_Succeeded,wall_perf_counter
warm,7,72.2911,64.5274,Solve_Succeeded,wall_perf_counter
warm,8,134.3663,127.0962,Solve_Succeeded,wall_perf_counter
warm,9,90.0363,82.8940,Solve_Succeeded,wall_perf_counter
warm,10,70.4799,63.1390,Solve_Succeeded,wall_perf_counter
warm,11,63.6128,55.9683,Solve_Succeeded,wall_perf_counter
warm,12,68.3625,60.8773,Solve_Succeeded,wall_perf_counter
warm,13,69.8760,62.3770,Solve_Succeeded,wall_perf_counter
warm,14,68.0037,60.5311,Solve_Succeeded,wall_perf_counter
warm,15,79.7061,72.4394,Solve_Succeeded,wall_perf_counter
warm,16,70.1998,62.4018,Solve_Succeeded,wall_perf_counter
warm,17,103.3085,95.8583,Solve_Succeeded,wall_perf_counter
warm,18,70.5736,63.2934,Solve_Succeeded,wall_perf_counter
warm,19,69.4091,61.8072,Solve_Succeeded,wall_perf_counter
warm,20,70.6518,63.3245,Solve_Succeeded,wall_perf_counter
warm,21,54.7878,46.8889,Solve_Succeeded,wall_perf_counter
warm,22,80.2753,72.9301,Solve_Succeeded,wall_perf_counter
warm,23,65.7856,58.2971,Solve_Succeeded,wall_perf_counter
warm,24,99.4863,92.0214,Solve_Succeeded,wall_perf_counter
warm,25,101.5515,94.0029,Solve_Succeeded,wall_perf_counter
warm,26,67.1694,59.8520,Solve_Succeeded,wall_perf_counter
warm,27,62.1488,54.3590,Solve_Succeeded,wall_perf_counter
warm,28,87.5707,80.1901,Solve_Succeeded,wall_perf_counter
warm,29,71.9285,64.2879,Solve_Succeeded,wall_perf_counter
warm,30,136.3466,128.9650,Solve_Succeeded,wall_perf_counter
warm,31,98.1569,90.8546,Solve_Succeeded,wall_perf_counter
warm,32,54.2624,46.9150,Solve_Succeeded,wall_perf_counter
warm,33,124.3648,116.7899,Solve_Succeeded,wall_perf_counter
warm,34,56.5126,48.6630,Solve_Succeeded,wall_perf_counter
warm,35,59.7209,52.3481,Solve_Succeeded,wall_perf_counter
warm,36,72.9731,65.2690,Solve_Succeeded,wall_perf_counter
warm,37,119.6202,112.3575,Solve_Succeeded,wall_perf_counter
warm,38,110.0859,102.4176,Solve_Succeeded,wall_perf_counter
warm,39,108.6777,101.1486,Solve_Succeeded,wall_perf_counter
warm,40,59.0968,51.6248,Solve_Succeeded,wall_perf_counter
warm,41,50.7593,42.9419,Solve_Succeeded,wall_perf_counter
warm,42,46.4969,38.9373,Solve_Succeeded,wall_perf_counter
warm,43,46.3660,38.6635,Solve_Succeeded,wall_perf_counter
warm,44,42.0666,34.7395,Solve_Succeeded,wall_perf_counter
warm,45,41.1308,33.8772,Solve_Succeeded,wall_perf_counter
warm,46,41.7306,34.2670,Solve_Succeeded,wall_perf_counter
warm,47,41.5178,34.1318,Solve_Succeeded,wall_perf_counter
warm,48,46.1686,38.6254,Solve_Succeeded,wall_perf_counter
warm,49,46.3702,38.8433,Solve_Succeeded,wall_perf_counter
