utc,elapsed_s,phase,cpu_percent,gpu_percent,memory_used_mb,load1,max_temp_c
2026-08-22T08:56:32.590484+00:00,0.504,steady,40.500,60.000,4130.289,2.483,55.687
2026-08-22T08:56:33.093894+00:00,1.008,steady,36.300,65.500,4136.309,2.483,55.562
2026-08-22T08:56:33.597183+00:00,1.511,steady,31.300,64.200,4139.520,2.483,55.718
2026-08-22T08:56:34.101137+00:00,2.015,steady,32.800,56.500,4138.973,2.483,55.625
2026-08-22T08:56:34.605688+00:00,2.520,steady,30.100,63.700,4139.484,2.483,55.625
2026-08-22T08:56:35.111040+00:00,3.025,steady,33.600,65.700,4136.840,2.483,55.750
2026-08-22T08:56:35.613700+00:00,3.528,steady,33.200,58.800,4134.340,2.364,55.843
2026-08-22T08:56:36.117458+00:00,4.031,steady,33.600,62.600,4133.195,2.364,55.593
2026-08-22T08:56:36.621836+00:00,4.536,steady,32.900,64.000,4135.910,2.364,55.625
2026-08-22T08:56:37.125526+00:00,5.039,steady,35.600,61.000,4138.367,2.364,55.843
2026-08-22T08:56:37.628845+00:00,5.543,steady,34.900,60.600,4141.328,2.364,55.625
2026-08-22T08:56:38.133603+00:00,6.047,steady,38.200,64.100,4139.859,2.364,55.812
2026-08-22T08:56:38.636991+00:00,6.551,steady,33.800,61.900,4138.289,2.364,55.750
2026-08-22T08:56:39.141092+00:00,7.055,steady,34.700,64.000,4143.949,2.364,56.000
2026-08-22T08:56:39.645500+00:00,7.559,steady,31.300,50.300,4143.523,2.364,55.625
2026-08-22T08:56:40.149229+00:00,8.063,steady,32.100,60.600,4144.715,2.364,55.812
2026-08-22T08:56:40.653429+00:00,8.567,steady,33.200,60.400,4143.719,2.254,55.718
2026-08-22T08:56:41.156397+00:00,9.070,steady,34.300,64.000,4143.875,2.254,55.656
2026-08-22T08:56:41.659821+00:00,9.574,steady,31.900,63.900,4144.715,2.254,55.812
2026-08-22T08:56:42.162686+00:00,10.077,steady,35.200,62.800,4143.762,2.254,55.781
2026-08-22T08:56:42.666203+00:00,10.580,steady,32.300,59.500,4143.512,2.254,55.968
2026-08-22T08:56:43.169560+00:00,11.083,steady,34.800,60.600,4145.582,2.254,55.750
2026-08-22T08:56:43.672910+00:00,11.587,steady,30.400,64.400,4145.707,2.254,55.750
2026-08-22T08:56:44.176787+00:00,12.091,steady,32.600,60.300,4144.754,2.254,55.812
2026-08-22T08:56:44.680190+00:00,12.594,steady,34.000,56.400,4144.039,2.254,55.812
2026-08-22T08:56:45.184565+00:00,13.098,steady,33.200,63.900,4145.398,2.254,55.812
2026-08-22T08:56:45.688024+00:00,13.602,steady,33.800,61.100,4144.785,2.395,55.875
2026-08-22T08:56:46.191361+00:00,14.105,steady,33.200,60.000,4155.516,2.395,55.750
2026-08-22T08:56:46.695400+00:00,14.609,steady,30.400,64.300,4159.707,2.395,55.718
2026-08-22T08:56:47.199603+00:00,15.113,steady,39.600,67.600,4171.727,2.395,55.750
2026-08-22T08:56:47.703222+00:00,15.617,stress,39.000,64.200,4107.762,2.395,55.843
2026-08-22T08:56:48.206984+00:00,16.121,stress,32.600,60.200,4146.488,2.395,55.687
2026-08-22T08:56:48.710397+00:00,16.624,stress,33.500,63.700,4143.645,2.395,55.875
2026-08-22T08:56:49.214013+00:00,17.128,stress,35.100,58.500,4144.000,2.395,55.781
2026-08-22T08:56:49.718632+00:00,17.633,stress,32.900,64.600,4144.734,2.395,55.625
2026-08-22T08:56:50.222577+00:00,18.136,stress,32.600,63.300,4147.520,2.395,55.843
2026-08-22T08:56:50.725693+00:00,18.640,stress,32.200,58.200,4148.941,2.363,55.781
2026-08-22T08:56:51.229660+00:00,19.144,stress,32.700,64.200,4147.855,2.363,56.125
2026-08-22T08:56:51.733367+00:00,19.647,stress,32.300,67.600,4145.840,2.363,55.843
2026-08-22T08:56:52.237135+00:00,20.151,stress,32.300,57.800,4147.102,2.363,55.687
2026-08-22T08:56:52.740475+00:00,20.654,stress,33.600,65.000,4146.688,2.363,56.062
2026-08-22T08:56:53.244268+00:00,21.158,stress,34.200,62.800,4146.109,2.363,55.875
2026-08-22T08:56:53.748139+00:00,21.662,stress,37.200,64.500,4149.273,2.363,55.781
2026-08-22T08:56:54.252264+00:00,22.166,stress,34.000,69.500,4149.430,2.363,55.968
2026-08-22T08:56:54.755951+00:00,22.670,stress,31.800,67.000,4148.516,2.363,55.781
2026-08-22T08:56:55.259597+00:00,23.173,stress,33.500,59.600,4150.641,2.333,55.687
2026-08-22T08:56:55.763501+00:00,23.677,stress,31.300,66.400,4150.621,2.333,55.937
2026-08-22T08:56:56.267900+00:00,24.182,stress,33.000,65.400,4163.270,2.333,55.968
2026-08-22T08:56:56.771738+00:00,24.686,stress,36.200,30.500,4169.113,2.333,55.937
