mode,iter,wall_ms,ipopt_ms,solver_status,timing_source
cold,0,34.0339,26.4722,Solve_Succeeded,wall_perf_counter
cold,1,32.6955,25.5237,Solve_Succeeded,wall_perf_counter
cold,2,33.0482,25.8358,Solve_Succeeded,wall_perf_counter
cold,3,33.9663,26.5536,Solve_Succeeded,wall_perf_counter
cold,4,35.5977,28.1347,Solve_Succeeded,wall_perf_counter
cold,5,35.8866,28.0050,Solve_Succeeded,wall_perf_counter
cold,6,35.4951,27.4500,Solve_Succeeded,wall_perf_counter
cold,7,34.2344,26.4544,Solve_Succeeded,wall_perf_counter
cold,8,33.7248,26.1752,Solve_Succeeded,wall_perf_counter
cold,9,33.4871,26.1647,Solve_Succeeded,wall_perf_counter
cold,10,34.2207,26.8670,Solve_Succeeded,wall_perf_counter
cold,11,33.9924,26.8043,Solve_Succeeded,wall_perf_counter
cold,12,34.9812,27.5350,Solve_Succeeded,wall_perf_counter
cold,13,35.7142,27.6934,Solve_Succeeded,wall_perf_counter
cold,14,36.4904,28.5198,Solve_Succeeded,wall_perf_counter
cold,15,36.7304,28.8786,Solve_Succeeded,wall_perf_counter
cold,16,36.5178,28.7568,Solve_Succeeded,wall_perf_counter
cold,17,35.3031,27.5841,Solve_Succeeded,wall_perf_counter
cold,18,33.8485,26.4808,Solve_Succeeded,wall_perf_counter
cold,19,33.9877,26.7537,Solve_Succeeded,wall_perf_counter
cold,20,33.7706,26.4467,Solve_Succeeded,wall_perf_counter
cold,21,33.7253,26.2662,Solve_Succeeded,wall_perf_counter
cold,22,34.2102,26.6631,Solve_Succeeded,wall_perf_counter
cold,23,34.0670,26.3739,Solve_Succeeded,wall_perf_counter
cold,24,33.0905,25.9578,Solve_Succeeded,wall_perf_counter
cold,25,33.8975,26.4207,Solve_Succeeded,wall_perf_counter
cold,26,34.1628,26.6574,Solve_Succeeded,wall_perf_counter
cold,27,35.1591,27.3144,Solve_Succeeded,wall_perf_counter
cold,28,34.1637,27.0564,Solve_Succeeded,wall_perf_counter
cold,29,35.0524,27.6073,Solve_Succeeded,wall_perf_counter
cold,30,34.6115,27.2158,Solve_Succeeded,wall_perf_counter
cold,31,35.8125,28.4529,Solve_Succeeded,wall_perf_counter
cold,32,33.9940,26.6791,Solve_Succeeded,wall_perf_counter
cold,33,32.0381,25.1960,Solve_Succeeded,wall_perf_counter
cold,34,32.1466,25.2870,Solve_Succeeded,wall_perf_counter
cold,35,32.2032,25.2707,Solve_Succeeded,wall_perf_counter
cold,36,32.1558,25.2525,Solve_Succeeded,wall_perf_counter
cold,37,32.9697,25.9504,Solve_Succeeded,wall_perf_counter
cold,38,33.9032,26.5612,Solve_Succeeded,wall_perf_counter
cold,39,34.6394,26.9830,Solve_Succeeded,wall_perf_counter
cold,40,31.6165,24.4945,Solve_Succeeded,wall_perf_counter
cold,41,33.5641,26.4562,Solve_Succeeded,wall_perf_counter
cold,42,33.3204,26.1589,Solve_Succeeded,wall_perf_counter
cold,43,34.8571,27.5375,Solve_Succeeded,wall_perf_counter
cold,44,33.4317,26.2679,Solve_Succeeded,wall_perf_counter
cold,45,32.7584,25.5164,Solve_Succeeded,wall_perf_counter
cold,46,32.9967,26.0123,Solve_Succeeded,wall_perf_counter
cold,47,33.7540,26.8425,Solve_Succeeded,wall_perf_counter
cold,48,33.8478,26.3082,Solve_Succeeded,wall_perf_counter
cold,49,32.9411,25.6235,Solve_Succeeded,wall_perf_counter
cold,50,34.4043,27.0432,Solve_Succeeded,wall_perf_counter
cold,51,33.6887,26.2704,Solve_Succeeded,wall_perf_counter
cold,52,34.2395,26.8514,Solve_Succeeded,wall_perf_counter
cold,53,33.7299,26.0438,Solve_Succeeded,wall_perf_counter
cold,54,33.1829,25.8932,Solve_Succeeded,wall_perf_counter
cold,55,34.1785,26.3621,Solve_Succeeded,wall_perf_counter
cold,56,33.7387,26.2889,Solve_Succeeded,wall_perf_counter
cold,57,32.9010,25.5458,Solve_Succeeded,wall_perf_counter
cold,58,34.1774,26.5842,Solve_Succeeded,wall_perf_counter
