    PID COMMAND         %CPU %MEM     ELAPSED COMMAND
  17689 code            55.9  1.8       01:11 /usr/share/code/code --type=zygote
   3284 code            55.3  2.4       30:36 /usr/share/code/code --type=zygote --no-zygote-sandbox
   3454 code            31.8  2.2       30:31 /usr/share/code/code --type=zygote
  17858 code            26.7  2.2       01:00 /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=zh-CN --service-sandbox-type=none --dns-result-order=ipv4first --experimental-network-inspection --inspect-port=0 --js-flags=--nodecommit_pooled_pages --crashpad-handler-pid=3271 --enable-crash-reporter=c0979852-d46e-4e28-9fe0-e62029d59c03,no_channel --user-data-dir=/home/auv_dev/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,8022810612685921947,9017695881838665152,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190709001304541078
   2163 gnome-shell     26.1  3.3       30:58 /usr/bin/gnome-shell
   3318 code            11.4  2.5       30:36 /usr/share/code/code --type=zygote
   1581 Xorg             8.7  1.5       31:00 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -nolisten tcp -background none -noreset -keeptty -novtswitch -verbose 3
   3249 code             5.6  1.3       30:37 /usr/share/code/code
   3380 code             3.9  2.8       30:34 /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=zh-CN --service-sandbox-type=none --dns-result-order=ipv4first --experimental-network-inspection --inspect-port=0 --js-flags=--nodecommit_pooled_pages --crashpad-handler-pid=3271 --enable-crash-reporter=c0979852-d46e-4e28-9fe0-e62029d59c03,no_channel --user-data-dir=/home/auv_dev/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,8022810612685921947,9017695881838665152,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708991934122588
  17896 codex            3.1  0.5       00:55 /home/auv_dev/.vscode/extensions/openai.chatgpt-26.818.41705-linux-arm64/bin/linux-aarch64/codex -c features.code_mode_host=true app-server --analytics-default-enabled
    297 irq/198-gk20a_s  2.9  0.0       31:05 [irq/198-gk20a_s]
   3505 codex            2.9  0.7       30:30 /home/auv_dev/.vscode/extensions/openai.chatgpt-26.803.61601-linux-arm64/bin/linux-aarch64/codex -c features.code_mode_host=true app-server --analytics-default-enabled
   3410 code             2.6  0.6       30:33 /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=zh-CN --service-sandbox-type=none --js-flags=--nodecommit_pooled_pages --crashpad-handler-pid=3271 --enable-crash-reporter=c0979852-d46e-4e28-9fe0-e62029d59c03,no_channel --user-data-dir=/home/auv_dev/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,8022810612685921947,9017695881838665152,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708992871164437
  13438 nautilus         2.5  0.5       14:40 /usr/bin/nautilus --gapplication-service
  15920 code             2.4  0.7       05:34 /usr/share/code/code --type=zygote
   7826 mihomo-party     2.3  1.1       24:23 /proc/self/exe --type=renderer --enable-crash-reporter=e839b5e6-4d79-4eaf-a633-b259c82c7a36,no_channel --user-data-dir=/home/auv_dev/.config/mihomo-party --app-path=/opt/clash-party/resources/app.asar --no-sandbox --no-zygote --lang=zh-CN --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=4 --time-ticks-at-unix-epoch=-1787387253799180 --launch-time-ticks=409102431 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,9521459717119600767,2171984196174954307,262144 --enable-features=PdfUseShowSaveFilePicker --disable-features=ScreenAIOCREnabled,SpareRendererForSitePerProcess --variations-seed-version
  17842 code             2.3  0.6       01:00 /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=zh-CN --service-sandbox-type=none --js-flags=--nodecommit_pooled_pages --crashpad-handler-pid=3271 --enable-crash-reporter=c0979852-d46e-4e28-9fe0-e62029d59c03,no_channel --user-data-dir=/home/auv_dev/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,8022810612685921947,9017695881838665152,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190709000367499229
   7767 mihomo           1.7  0.2       24:24 /opt/clash-party/resources/sidecar/mihomo -d /home/auv_dev/.config/mihomo-party/work -ext-ctl-unix /tmp/mihomo-party-1000-7472.sock
   7510 mihomo-party     1.6  1.2       24:25 /opt/clash-party/mihomo-party --type=zygote --no-zygote-sandbox
     14 ksoftirqd/0      1.0  0.0       31:12 [ksoftirqd/0]
   8616 pytho <defunct>  1.0  0.0       20:36 [python3] <defunct>
    928 nvgpu_channel_p  0.7  0.0       31:01 [nvgpu_channel_p]
   7472 mihomo-party     0.7  1.2       24:26 /opt/clash-party/mihomo-party
   2794 fcitx5           0.6  0.6       30:55 /usr/bin/fcitx5
    791 sugov:0          0.4  0.0       31:01 [sugov:0]
   1467 nxserver.bin     0.4  0.7       31:00 /usr/NX/bin/nxserver.bin --daemon
    349 systemd-udevd    0.3  0.0       31:05 /lib/systemd/systemd-udevd
    506 irq/214-tegra_d  0.3  0.0       31:04 [irq/214-tegra_d]
    777 snapd            0.3  0.3       31:01 /snap/snapd/current/usr/lib/snapd/snapd
   2799 gnome-software   0.3  1.2       30:55 /usr/bin/gnome-software --gapplication-service
   3365 code             0.3  0.6       30:34 /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=zh-CN --service-sandbox-type=none --js-flags=--nodecommit_pooled_pages --crashpad-handler-pid=3271 --enable-crash-reporter=c0979852-d46e-4e28-9fe0-e62029d59c03,no_channel --user-data-dir=/home/auv_dev/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,8022810612685921947,9017695881838665152,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708990997080739
  10247 kworker/0:2-eve  0.3  0.0       19:35 [kworker/0:2-events]
    793 sugov:4          0.2  0.0       31:01 [sugov:4]
   3293 code             0.2  0.4       30:36 /proc/self/exe --type=utility --utility-sub-type=network.mojom.NetworkService --lang=zh-CN --service-sandbox-type=none --crashpad-handler-pid=3271 --enable-crash-reporter=c0979852-d46e-4e28-9fe0-e62029d59c03,no_channel --user-data-dir=/home/auv_dev/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,8022810612685921947,9017695881838665152,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708989122997041
   3411 code             0.2  0.6       30:33 /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=zh-CN --service-sandbox-type=none --js-flags=--nodecommit_pooled_pages --crashpad-handler-pid=3271 --enable-crash-reporter=c0979852-d46e-4e28-9fe0-e62029d59c03,no_channel --user-data-dir=/home/auv_dev/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,8022810612685921947,9017695881838665152,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708993808206286
  17579 mount.ntfs       0.2  0.0       01:29 /sbin/mount.ntfs /dev/sda6 /media/auv_dev/4521D67925D73ACD -o rw,nodev,nosuid,uid=1000,gid=1000,windows_names,uhelper=udisks2
  18147 bash             0.2  0.0       00:14 /usr/bin/bash --init-file /usr/share/code/resources/app/out/vs/workbench/contrib/terminal/common/scripts/shellIntegration-bash.sh
      1 systemd          0.1  0.0       31:12 /sbin/init 2
    139 kswapd0          0.1  0.0       31:12 [kswapd0]
