time_s,x_m,y_m,cross_track_m,route_progress_m,confidence,mode
1783258734.6784048,14.744811073030927,0.0,0.0012852012199462946,14.744811073030927,0.5,track
1783258734.7784686,14.85577237102148,0.0,0.0013004104435810145,14.85577237102148,0.5,track
1783258734.8783855,14.966770609614574,0.0,0.0013156253619441758,14.966770609614574,0.5,track
1783258734.978464,15.077715381068794,0.0,0.0013308332023435202,15.077715381068794,0.5,track
1783258735.0784187,15.188891518105876,0.0,0.0013460736420487865,15.188891518105876,0.5,track
1783258735.1783717,15.299664383818715,0.0,0.0013612579928694909,15.299664383818715,0.5,track
1783258735.2782602,15.410520777442219,0.0,0.001376454979798929,15.410520777442219,0.5,track
1783258735.3784895,15.521823637467486,0.0,0.0013917141188295047,15.521823637467486,0.5,track
1783258735.478353,15.632492889368812,0.0,0.0014068845844097996,15.632492889368812,0.5,track
1783258735.578564,15.7433920837417,0.0,0.0014220868372592586,15.7433920837417,0.5,track
1783258735.6783051,15.854357537931696,0.0,0.0014372979752711307,15.854357537931696,0.5,track
1783258735.7783597,15.96528013623177,0.0,0.0014525028238796408,15.96528013623177,0.5,track
1783258735.8784382,16.076913853263914,0.0,0.0014678064213001928,16.076913853263914,0.5,track
1783258735.9783785,16.187326887481397,0.0,0.0014829396254906774,16.187326887481397,0.5,track
1783258736.0785246,16.29809736733403,0.0,0.001498122482839481,16.29809736733403,0.5,track
1783258736.178331,16.40914050422234,0.0,0.0015133431334648638,16.40914050422234,0.5,track
1783258736.278578,16.520172001154382,0.0,0.0015285619792737427,16.520172001154382,0.5,track
1783258736.378624,16.631020593062555,0.0,0.0015437551379455692,16.631020593062555,0.5,track
1783258736.4785378,16.741969799370043,0.0,0.001558962163046024,16.741969799370043,0.5,track
1783258736.5784116,16.85291167185554,0.0,0.0015741680845990818,16.85291167185554,0.5,track
1783258736.678254,16.963894802093087,0.0,0.0015893738112303405,16.963894802093087,0.5,track
1783258736.778273,17.075120275336396,0.0,0.0016046069198759531,17.075120275336396,0.5,track
1783258736.878338,17.185978696441556,0.0,0.001619788372766766,17.185978696441556,0.5,track
1783258736.9785156,17.297042411748762,0.0,0.001634997956842158,17.297042411748762,0.5,track
1783258737.078008,17.407567588363023,0.0,0.0016501322909783654,17.407567588363023,0.5,track
1783258737.178198,17.51910389889197,0.0,0.0016654068854964508,17.51910389889197,0.5,track
1783258737.2783015,17.63021969027004,0.0,0.0016806230411015748,17.63021969027004,0.5,track
1783258737.3782358,17.74124065571693,0.0,0.0016958259329354988,17.74124065571693,0.5,track
1783258737.478325,17.852271961656303,0.0,0.0017110297291695886,17.852271961656303,0.5,track
1783258737.5783017,17.96335509088301,0.0,0.0017262402410455637,17.96335509088301,0.5,track
