route_progress_m,burial_depth_m,burial_sigma_m,accuracy_target_m,accuracy_pass
14.744811073030927,1.5,,0.15,False
14.85577237102148,1.5,,0.15,False
14.966770609614574,1.5,,0.15,False
15.077715381068794,1.5,,0.15,False
15.188891518105876,1.5,,0.15,False
15.299664383818715,1.5,,0.15,False
15.410520777442219,1.5,,0.15,False
15.521823637467486,1.5,,0.15,False
15.632492889368812,1.5,,0.15,False
15.7433920837417,1.5,,0.15,False
15.854357537931696,1.5,,0.15,False
15.96528013623177,1.5,,0.15,False
16.076913853263914,1.5,,0.15,False
16.187326887481397,1.5,,0.15,False
16.29809736733403,1.5,,0.15,False
16.40914050422234,1.5,,0.15,False
16.520172001154382,1.5,,0.15,False
16.631020593062555,1.5,,0.15,False
16.741969799370043,1.5,,0.15,False
16.85291167185554,1.5,,0.15,False
16.963894802093087,1.5,,0.15,False
17.075120275336396,1.5,,0.15,False
17.185978696441556,1.5,,0.15,False
17.297042411748762,1.5,,0.15,False
17.407567588363023,1.5,,0.15,False
17.51910389889197,1.5,,0.15,False
17.63021969027004,1.5,,0.15,False
17.74124065571693,1.5,,0.15,False
17.852271961656303,1.5,,0.15,False
17.96335509088301,1.5,,0.15,False
18.074382396020354,1.5,,0.15,False
18.186120882076874,1.5,,0.15,False
18.296722199528553,1.5,,0.15,False
18.407684032807975,1.5,,0.15,False
18.518804058510476,1.5,,0.15,False
18.62961354691391,1.5,,0.15,False
18.740991662662896,1.5,,0.15,False
18.851953211185098,1.5,,0.15,False
18.96294627113824,1.5,,0.15,False
19.07400530592459,1.5,,0.15,False
19.185128408006193,1.5,,0.15,False
19.295916845949858,1.5,,0.15,False
19.406637468122383,1.5,,0.15,False
19.518184004035422,1.5,,0.15,False
19.629117330390716,1.5,,0.15,False
19.740154277233906,1.5,,0.15,False
19.85187127294717,1.5,,0.15,False
19.96177648097099,1.5,,0.15,False
20.07326738077781,1.5,,0.15,False
20.18432725113381,1.5,,0.15,False
20.295435544205027,1.5,,0.15,False
20.40646394417607,1.5,,0.15,False
20.517498439911968,1.5,,0.15,False
20.62851428684593,1.5,,0.15,False
20.739617592310392,1.5,,0.15,False
20.85079931291122,1.5,,0.15,False
20.961640146252,1.5,,0.15,False
21.072705373910196,1.5,,0.15,False
21.183985840291772,1.5,,0.15,False
21.294938733419208,1.5,,0.15,False
21.405838671237333,1.5,,0.15,False
21.517049997086595,1.5,,0.15,False
21.627940959022563,1.5,,0.15,False
21.739067824797374,1.5,,0.15,False
21.85005731864314,1.5,,0.15,False
21.961063111251818,1.5,,0.15,False
22.07209105488163,1.5,,0.15,False
22.183317003915825,1.5,,0.15,False
22.293992040448373,1.5,,0.15,False
22.405023875702852,1.5,,0.15,False
22.516221392831444,1.5,,0.15,False
22.627078860637944,1.5,,0.15,False
22.738185235516973,1.5,,0.15,False
22.849160254692684,1.5,,0.15,False
22.96018670121464,1.5,,0.15,False
23.071227901485408,1.5,,0.15,False
23.18231943019116,1.5,,0.15,False
23.293463363141395,1.5,,0.15,False
23.40452148407273,1.5,,0.15,False
23.515579735287094,1.5,,0.15,False
23.6266988578437,1.5,,0.15,False
23.73752340382239,1.5,,0.15,False
23.848630358757898,1.5,,0.15,False
23.95968461676491,1.5,,0.15,False
24.070627340499296,1.5,,0.15,False
24.18168266907415,1.5,,0.15,False
24.292721400133974,1.5,,0.15,False
24.403737965199475,1.5,,0.15,False
24.514831587613152,1.5,,0.15,False
24.62589268511384,1.5,,0.15,False
24.7368372273362,1.5,,0.15,False
24.84798848397121,1.5,,0.15,False
24.95903984720413,1.5,,0.15,False
25.069996011550664,1.5,,0.15,False
25.181204663664005,1.5,,0.15,False
25.29207910275585,1.5,,0.15,False
25.403124022184464,1.5,,0.15,False
25.51424123822969,1.5,,0.15,False
25.625446106110356,1.5,,0.15,False
25.73631487730002,1.5,,0.15,False
25.84741958547526,1.5,,0.15,False
25.958390270227742,1.5,,0.15,False
26.069482812922008,1.5,,0.15,False
26.180609454376857,1.5,,0.15,False
26.291918414010944,1.5,,0.15,False
26.402578091528824,1.5,,0.15,False
26.51347715046219,1.5,,0.15,False
26.62460306936808,1.5,,0.15,False
26.73578295669718,1.5,,0.15,False
26.846618260849574,1.5,,0.15,False
