route_progress_m,cross_track_m,estimated_x_m,estimated_y_m
14.744811073030927,0.0012852012199462946,14.744811073030927,0.0
14.85577237102148,0.0013004104435810145,14.85577237102148,0.0
14.966770609614574,0.0013156253619441758,14.966770609614574,0.0
15.077715381068794,0.0013308332023435202,15.077715381068794,0.0
15.188891518105876,0.0013460736420487865,15.188891518105876,0.0
15.299664383818715,0.0013612579928694909,15.299664383818715,0.0
15.410520777442219,0.001376454979798929,15.410520777442219,0.0
15.521823637467486,0.0013917141188295047,15.521823637467486,0.0
15.632492889368812,0.0014068845844097996,15.632492889368812,0.0
15.7433920837417,0.0014220868372592586,15.7433920837417,0.0
15.854357537931696,0.0014372979752711307,15.854357537931696,0.0
15.96528013623177,0.0014525028238796408,15.96528013623177,0.0
16.076913853263914,0.0014678064213001928,16.076913853263914,0.0
16.187326887481397,0.0014829396254906774,16.187326887481397,0.0
16.29809736733403,0.001498122482839481,16.29809736733403,0.0
16.40914050422234,0.0015133431334648638,16.40914050422234,0.0
16.520172001154382,0.0015285619792737427,16.520172001154382,0.0
16.631020593062555,0.0015437551379455692,16.631020593062555,0.0
16.741969799370043,0.001558962163046024,16.741969799370043,0.0
16.85291167185554,0.0015741680845990818,16.85291167185554,0.0
16.963894802093087,0.0015893738112303405,16.963894802093087,0.0
17.075120275336396,0.0016046069198759531,17.075120275336396,0.0
17.185978696441556,0.001619788372766766,17.185978696441556,0.0
17.297042411748762,0.001634997956842158,17.297042411748762,0.0
17.407567588363023,0.0016501322909783654,17.407567588363023,0.0
17.51910389889197,0.0016654068854964508,17.51910389889197,0.0
17.63021969027004,0.0016806230411015748,17.63021969027004,0.0
17.74124065571693,0.0016958259329354988,17.74124065571693,0.0
17.852271961656303,0.0017110297291695886,17.852271961656303,0.0
17.96335509088301,0.0017262402410455637,17.96335509088301,0.0
18.074382396020354,0.0017414426067877949,18.074382396020354,0.0
18.186120882076874,0.001756743389944586,18.186120882076874,0.0
18.296722199528553,0.001771886047782723,18.296722199528553,0.0
18.407684032807975,0.0017870785150552145,18.407684032807975,0.0
18.518804058510476,0.0018022927677575733,18.518804058510476,0.0
18.62961354691391,0.0018174637365831602,18.62961354691391,0.0
18.740991662662896,0.0018327135176258408,18.740991662662896,0.0
18.851953211185098,0.001847905314093085,18.851953211185098,0.0
18.96294627113824,0.0018631014473338224,18.96294627113824,0.0
