mode,iter,wall_ms,ipopt_ms,solver_status,timing_source
warm,0,84.7613,77.3379,Solve_Succeeded,wall_perf_counter
warm,1,92.5030,84.9732,Solve_Succeeded,wall_perf_counter
warm,2,75.4657,67.5500,Solve_Succeeded,wall_perf_counter
warm,3,54.0611,46.0829,Solve_Succeeded,wall_perf_counter
warm,4,62.4184,54.7351,Solve_Succeeded,wall_perf_counter
warm,5,57.2873,49.6024,Solve_Succeeded,wall_perf_counter
warm,6,60.8527,53.4873,Solve_Succeeded,wall_perf_counter
warm,7,78.2875,70.3628,Solve_Succeeded,wall_perf_counter
warm,8,142.2650,134.3427,Solve_Succeeded,wall_perf_counter
warm,9,92.2842,84.7866,Solve_Succeeded,wall_perf_counter
warm,10,68.6484,61.3876,Solve_Succeeded,wall_perf_counter
warm,11,63.6505,56.2307,Solve_Succeeded,wall_perf_counter
warm,12,67.7813,60.5855,Solve_Succeeded,wall_perf_counter
warm,13,69.9940,61.8616,Solve_Succeeded,wall_perf_counter
warm,14,67.8443,60.4546,Solve_Succeeded,wall_perf_counter
warm,15,79.5207,72.0896,Solve_Succeeded,wall_perf_counter
warm,16,68.5772,60.9987,Solve_Succeeded,wall_perf_counter
warm,17,105.9924,98.2331,Solve_Succeeded,wall_perf_counter
warm,18,73.1361,65.5442,Solve_Succeeded,wall_perf_counter
warm,19,74.3175,66.4681,Solve_Succeeded,wall_perf_counter
warm,20,75.4705,67.7229,Solve_Succeeded,wall_perf_counter
warm,21,57.5434,49.7296,Solve_Succeeded,wall_perf_counter
warm,22,83.5999,76.1748,Solve_Succeeded,wall_perf_counter
warm,23,66.9881,59.7829,Solve_Succeeded,wall_perf_counter
warm,24,104.0841,96.9297,Solve_Succeeded,wall_perf_counter
warm,25,105.5722,98.3924,Solve_Succeeded,wall_perf_counter
warm,26,76.3807,67.9230,Solve_Succeeded,wall_perf_counter
warm,27,69.3389,61.2754,Solve_Succeeded,wall_perf_counter
warm,28,97.2104,89.3138,Solve_Succeeded,wall_perf_counter
warm,29,73.0226,65.9445,Solve_Succeeded,wall_perf_counter
warm,30,137.5551,129.5794,Solve_Succeeded,wall_perf_counter
warm,31,98.4576,91.3226,Solve_Succeeded,wall_perf_counter
warm,32,53.2831,45.9426,Solve_Succeeded,wall_perf_counter
warm,33,122.3209,115.0782,Solve_Succeeded,wall_perf_counter
warm,34,54.1944,46.9448,Solve_Succeeded,wall_perf_counter
warm,35,59.1815,51.8316,Solve_Succeeded,wall_perf_counter
warm,36,70.5847,63.3887,Solve_Succeeded,wall_perf_counter
warm,37,116.7079,109.4779,Solve_Succeeded,wall_perf_counter
warm,38,109.6189,102.3232,Solve_Succeeded,wall_perf_counter
warm,39,109.9720,102.7329,Solve_Succeeded,wall_perf_counter
warm,40,57.8433,50.2433,Solve_Succeeded,wall_perf_counter
warm,41,49.2596,41.9422,Solve_Succeeded,wall_perf_counter
warm,42,46.2599,38.9513,Solve_Succeeded,wall_perf_counter
warm,43,45.6879,38.3773,Solve_Succeeded,wall_perf_counter
warm,44,41.0212,33.8989,Solve_Succeeded,wall_perf_counter
warm,45,41.2657,34.0222,Solve_Succeeded,wall_perf_counter
warm,46,40.4385,33.2403,Solve_Succeeded,wall_perf_counter
warm,47,41.0311,33.7332,Solve_Succeeded,wall_perf_counter
warm,48,44.8179,37.5577,Solve_Succeeded,wall_perf_counter
warm,49,46.9261,39.6694,Solve_Succeeded,wall_perf_counter
