mode,iter,wall_ms,ipopt_ms,solver_status,timing_source
cold,0,91.7955,83.6252,Solve_Succeeded,wall_perf_counter
cold,1,90.9629,83.2833,Solve_Succeeded,wall_perf_counter
cold,2,80.8698,73.1084,Solve_Succeeded,wall_perf_counter
cold,3,76.3126,69.3911,Solve_Succeeded,wall_perf_counter
cold,4,85.8484,78.8059,Solve_Succeeded,wall_perf_counter
cold,5,83.6412,76.5264,Solve_Succeeded,wall_perf_counter
cold,6,85.6838,78.6761,Solve_Succeeded,wall_perf_counter
cold,7,81.8201,74.6932,Solve_Succeeded,wall_perf_counter
cold,8,139.3135,132.1030,Solve_Succeeded,wall_perf_counter
cold,9,120.3093,112.7887,Solve_Succeeded,wall_perf_counter
cold,10,126.4586,119.3133,Solve_Succeeded,wall_perf_counter
cold,11,98.0839,91.0643,Solve_Succeeded,wall_perf_counter
cold,12,76.0478,68.9158,Solve_Succeeded,wall_perf_counter
cold,13,83.1102,76.1177,Solve_Succeeded,wall_perf_counter
cold,14,74.8646,67.7825,Solve_Succeeded,wall_perf_counter
cold,15,110.5194,103.3477,Solve_Succeeded,wall_perf_counter
cold,16,72.5430,65.4669,Solve_Succeeded,wall_perf_counter
cold,17,114.7815,107.6934,Solve_Succeeded,wall_perf_counter
cold,18,67.0673,59.9482,Solve_Succeeded,wall_perf_counter
cold,19,71.2056,64.0323,Solve_Succeeded,wall_perf_counter
cold,20,88.9579,81.9691,Solve_Succeeded,wall_perf_counter
cold,21,83.6613,76.5912,Solve_Succeeded,wall_perf_counter
cold,22,77.4710,70.3347,Solve_Succeeded,wall_perf_counter
cold,23,79.7251,72.3801,Solve_Succeeded,wall_perf_counter
cold,24,90.4890,83.3445,Solve_Succeeded,wall_perf_counter
cold,25,79.9832,72.9488,Solve_Succeeded,wall_perf_counter
cold,26,72.8723,65.8442,Solve_Succeeded,wall_perf_counter
cold,27,74.5057,67.3619,Solve_Succeeded,wall_perf_counter
cold,28,64.0578,57.0889,Solve_Succeeded,wall_perf_counter
cold,29,88.9840,81.7846,Solve_Succeeded,wall_perf_counter
cold,30,140.0144,132.9486,Solve_Succeeded,wall_perf_counter
cold,31,106.4945,99.0216,Solve_Succeeded,wall_perf_counter
cold,32,91.1333,84.0505,Solve_Succeeded,wall_perf_counter
cold,33,87.4187,80.2407,Solve_Succeeded,wall_perf_counter
cold,34,73.6959,66.4038,Solve_Succeeded,wall_perf_counter
cold,35,58.4329,51.4870,Solve_Succeeded,wall_perf_counter
cold,36,92.1333,85.0641,Solve_Succeeded,wall_perf_counter
cold,37,88.3182,81.2296,Solve_Succeeded,wall_perf_counter
cold,38,88.0359,80.8896,Solve_Succeeded,wall_perf_counter
cold,39,84.7702,77.7678,Solve_Succeeded,wall_perf_counter
cold,40,55.8071,48.6440,Solve_Succeeded,wall_perf_counter
cold,41,52.5993,45.3790,Solve_Succeeded,wall_perf_counter
cold,42,52.1290,44.3485,Solve_Succeeded,wall_perf_counter
cold,43,48.1992,40.4907,Solve_Succeeded,wall_perf_counter
cold,44,47.9918,40.4391,Solve_Succeeded,wall_perf_counter
cold,45,47.7589,40.1154,Solve_Succeeded,wall_perf_counter
cold,46,47.5548,40.2865,Solve_Succeeded,wall_perf_counter
cold,47,48.0683,40.8622,Solve_Succeeded,wall_perf_counter
cold,48,47.2975,40.0761,Solve_Succeeded,wall_perf_counter
cold,49,46.5429,39.3011,Solve_Succeeded,wall_perf_counter
