scenario,arm,arm_label,seed,status,rmse_xy_m,rmse_z_m,rmse_3d_m,depth_equiv_error_m,depth_equiv_bias_m,current_speed_mps,target_loss_ratio,reacquire_success_ratio,mag_nis_mean,mag_nis_p95,mag_updates,sonar_input
mag_weak,1_imu_dvl,IMU+DVL,2,ok,23.1626,0.0136108,23.1626,nan,nan,0,1,0,nan,nan,0,disabled
mag_weak,2_imu_dvl_mag,+磁,0,ok,16.1084,0.029656,16.1084,0.308444,0.0270253,0,0,nan,2.33596,8.14943,240,disabled
mag_weak,2_imu_dvl_mag,+磁,1,ok,35.1795,0.0240403,35.1795,0.309015,-0.00517971,0,0,nan,2.31655,8.7189,240,disabled
mag_weak,2_imu_dvl_mag,+磁,2,ok,13.6462,0.024336,13.6463,0.306671,-0.00884078,0,0,nan,2.26641,9.07177,240,disabled
mag_weak,3_imu_dvl_sonar,+声呐,0,ok,6.64564,0.0294438,6.6457,nan,nan,0,0,nan,nan,nan,0,confidence_only
mag_weak,3_imu_dvl_sonar,+声呐,1,ok,32.9875,0.00966138,32.9875,nan,nan,0,0,nan,nan,nan,0,confidence_only
mag_weak,3_imu_dvl_sonar,+声呐,2,ok,23.1626,0.0136108,23.1626,nan,nan,0,0,nan,nan,nan,0,confidence_only
mag_weak,4_imu_dvl_mag_sonar,+磁+声呐,0,ok,18.3076,0.0243569,18.3076,0.308444,0.0270253,0,0,nan,1.89413,6.73168,240,confidence_only
mag_weak,4_imu_dvl_mag_sonar,+磁+声呐,1,ok,33.4754,0.0208275,33.4754,0.309015,-0.00517971,0,0,nan,1.88511,7.14744,240,confidence_only
mag_weak,4_imu_dvl_mag_sonar,+磁+声呐,2,ok,16.8715,0.0214589,16.8715,0.306671,-0.00884078,0,0,nan,1.8462,7.38224,240,confidence_only
mag_weak,5_fusion_fixed_r,声磁融合(固定R),0,ok,18.3076,0.0243569,18.3076,0.308444,0.0270253,0,0,nan,1.89413,6.73168,240,confidence_only
mag_weak,5_fusion_fixed_r,声磁融合(固定R),1,ok,33.4754,0.0208275,33.4754,0.309015,-0.00517971,0,0,nan,1.88511,7.14744,240,confidence_only
mag_weak,5_fusion_fixed_r,声磁融合(固定R),2,ok,16.8715,0.0214589,16.8715,0.306671,-0.00884078,0,0,nan,1.8462,7.38224,240,confidence_only
mag_weak,6_fusion_adaptive_r,声磁融合(自适应R),0,ok,17.6079,0.0227416,17.6079,0.308444,0.0270253,0,0,nan,1.36233,5.24952,240,confidence_only
mag_weak,6_fusion_adaptive_r,声磁融合(自适应R),1,ok,33.7015,0.0191774,33.7015,0.309015,-0.00517971,0,0,nan,1.31111,4.51432,240,confidence_only
mag_weak,6_fusion_adaptive_r,声磁融合(自适应R),2,ok,17.3209,0.0196885,17.3209,0.306671,-0.00884078,0,0,nan,1.29372,5.4363,240,confidence_only
em_noise,1_imu_dvl,IMU+DVL,0,ok,16.6069,0.00852798,16.6069,nan,nan,0,1,0,nan,nan,0,disabled
em_noise,1_imu_dvl,IMU+DVL,1,ok,14.1021,0.0107343,14.1021,nan,nan,0,1,0,nan,nan,0,disabled
em_noise,1_imu_dvl,IMU+DVL,2,ok,34.1051,0.0099021,34.1051,nan,nan,0,1,0,nan,nan,0,disabled
em_noise,2_imu_dvl_mag,+磁,0,ok,14.116,0.04538,14.116,0.642271,0.0325879,0,0,nan,9.94905,38.8558,240,disabled
em_noise,2_imu_dvl_mag,+磁,1,ok,26.3928,0.0393142,26.3928,0.585233,-0.0965071,0,0,nan,8.27649,31.7458,240,disabled
em_noise,2_imu_dvl_mag,+磁,2,ok,33.2108,0.0389773,33.2109,0.612257,-0.0383704,0,0,nan,9.13583,33.6645,240,disabled
em_noise,3_imu_dvl_sonar,+声呐,0,ok,16.6069,0.00852798,16.6069,nan,nan,0,0,nan,nan,nan,0,confidence_only
em_noise,3_imu_dvl_sonar,+声呐,1,ok,14.1021,0.0107343,14.1021,nan,nan,0,0,nan,nan,nan,0,confidence_only
em_noise,3_imu_dvl_sonar,+声呐,2,ok,34.1051,0.0099021,34.1051,nan,nan,0,0,nan,nan,nan,0,confidence_only
em_noise,4_imu_dvl_mag_sonar,+磁+声呐,0,ok,9.63242,0.0386752,9.63249,0.642271,0.0325879,0,0,nan,8.10706,31.7916,240,confidence_only
em_noise,4_imu_dvl_mag_sonar,+磁+声呐,1,ok,26.6617,0.0331765,26.6617,0.585233,-0.0965071,0,0,nan,6.74537,25.676,240,confidence_only
em_noise,4_imu_dvl_mag_sonar,+磁+声呐,2,ok,32.3447,0.0332203,32.3448,0.612257,-0.0383704,0,0,nan,7.4299,27.4801,240,confidence_only
em_noise,5_fusion_fixed_r,声磁融合(固定R),0,ok,9.63242,0.0386752,9.63249,0.642271,0.0325879,0,0,nan,8.10706,31.7916,240,confidence_only
em_noise,5_fusion_fixed_r,声磁融合(固定R),1,ok,26.6617,0.0331765,26.6617,0.585233,-0.0965071,0,0,nan,6.74537,25.676,240,confidence_only
em_noise,5_fusion_fixed_r,声磁融合(固定R),2,ok,32.3447,0.0332203,32.3448,0.612257,-0.0383704,0,0,nan,7.4299,27.4801,240,confidence_only
em_noise,6_fusion_adaptive_r,声磁融合(自适应R),0,ok,9.84514,0.0330674,9.84519,0.642271,0.0325879,0,0,nan,3.6967,18.0566,240,confidence_only
em_noise,6_fusion_adaptive_r,声磁融合(自适应R),1,ok,23.3097,0.0219972,23.3097,0.585233,-0.0965071,0,0,nan,2.74084,15.013,240,confidence_only
em_noise,6_fusion_adaptive_r,声磁融合(自适应R),2,ok,31.5326,0.0254767,31.5326,0.612257,-0.0383704,0,0,nan,2.72713,10.3888,240,confidence_only
current,1_imu_dvl,IMU+DVL,0,ok,26.7959,0.0120539,26.7959,nan,nan,0.3,1,0,nan,nan,0,disabled
current,1_imu_dvl,IMU+DVL,1,ok,16.6249,0.00956036,16.6249,nan,nan,0.3,1,0,nan,nan,0,disabled
current,1_imu_dvl,IMU+DVL,2,ok,23.547,0.00871318,23.547,nan,nan,0.3,1,0,nan,nan,0,disabled
current,2_imu_dvl_mag,+磁,0,ok,26.3142,0.0351836,26.3142,0.278575,0.229495,0.3,0,nan,1.59016,4.81679,240,disabled
current,2_imu_dvl_mag,+磁,1,ok,13.1442,0.031484,13.1442,0.260779,0.21713,0.3,0,nan,1.42555,4.55194,240,disabled
current,2_imu_dvl_mag,+磁,2,ok,25.7112,0.0307241,25.7113,0.268855,0.228702,0.3,0,nan,1.50219,4.24994,240,disabled
current,3_imu_dvl_sonar,+声呐,0,ok,26.7959,0.0120539,26.7959,nan,nan,0.3,0,nan,nan,nan,0,confidence_only
current,3_imu_dvl_sonar,+声呐,1,ok,16.6249,0.00956036,16.6249,nan,nan,0.3,0,nan,nan,nan,0,confidence_only
current,3_imu_dvl_sonar,+声呐,2,ok,23.547,0.00871318,23.547,nan,nan,0.3,0,nan,nan,nan,0,confidence_only
current,4_imu_dvl_mag_sonar,+磁+声呐,0,ok,26.252,0.030407,26.252,0.278575,0.229495,0.3,0,nan,1.32958,4.00026,240,confidence_only
current,4_imu_dvl_mag_sonar,+磁+声呐,1,ok,14.0287,0.0269239,14.0287,0.260779,0.21713,0.3,0,nan,1.19372,3.78924,240,confidence_only
current,4_imu_dvl_mag_sonar,+磁+声呐,2,ok,24.669,0.025975,24.6691,0.268855,0.228702,0.3,0,nan,1.25666,3.56984,240,confidence_only
current,5_fusion_fixed_r,声磁融合(固定R),0,ok,26.252,0.030407,26.252,0.278575,0.229495,0.3,0,nan,1.32958,4.00026,240,confidence_only
current,5_fusion_fixed_r,声磁融合(固定R),1,ok,14.0287,0.0269239,14.0287,0.260779,0.21713,0.3,0,nan,1.19372,3.78924,240,confidence_only
current,5_fusion_fixed_r,声磁融合(固定R),2,ok,24.669,0.025975,24.6691,0.268855,0.228702,0.3,0,nan,1.25666,3.56984,240,confidence_only
current,6_fusion_adaptive_r,声磁融合(自适应R),0,ok,26.3782,0.0251092,26.3782,0.278575,0.229495,0.3,0,nan,1.02071,3.07841,240,confidence_only
current,6_fusion_adaptive_r,声磁融合(自适应R),1,ok,14.1278,0.023407,14.1278,0.260779,0.21713,0.3,0,nan,0.93533,2.74943,240,confidence_only
current,6_fusion_adaptive_r,声磁融合(自适应R),2,ok,24.956,0.0235701,24.956,0.268855,0.228702,0.3,0,nan,1.04032,2.84873,240,confidence_only
combined,1_imu_dvl,IMU+DVL,0,ok,27.0351,0.010798,27.0351,nan,nan,0,1,0,nan,nan,0,disabled
combined,1_imu_dvl,IMU+DVL,1,ok,2.55166,0.00955372,2.55167,nan,nan,0,1,0,nan,nan,0,disabled
combined,1_imu_dvl,IMU+DVL,2,ok,1.0644,0.0123977,1.06447,nan,nan,0,1,0,nan,nan,0,disabled
combined,2_imu_dvl_mag,+磁,0,ok,17.9674,0.0267376,17.9675,0.410278,-0.00627824,0,0,nan,4.08742,15.5321,240,disabled
combined,2_imu_dvl_mag,+磁,1,ok,11.407,0.026898,11.407,0.387501,-0.0176415,0,0,nan,3.65232,15.1831,240,disabled
combined,2_imu_dvl_mag,+磁,2,ok,36.7712,0.0318069,36.7712,0.452205,-0.0200378,0,0,nan,4.91924,19.6465,240,disabled
combined,3_imu_dvl_sonar,+声呐,0,ok,27.0351,0.010798,27.0351,nan,nan,0,0.167083,1,nan,nan,0,confidence_only
combined,3_imu_dvl_sonar,+声呐,1,ok,2.55166,0.00955372,2.55167,nan,nan,0,0.167083,1,nan,nan,0,confidence_only
combined,3_imu_dvl_sonar,+声呐,2,ok,1.0644,0.0123977,1.06447,nan,nan,0,0.167083,1,nan,nan,0,confidence_only
combined,4_imu_dvl_mag_sonar,+磁+声呐,0,ok,25.99,0.0220777,25.99,0.410278,-0.00627824,0,0,nan,2.5554,11.1794,240,confidence_only
combined,4_imu_dvl_mag_sonar,+磁+声呐,1,ok,25.9539,0.0225184,25.9539,0.387501,-0.0176415,0,0,nan,2.32002,11.1348,240,confidence_only
combined,4_imu_dvl_mag_sonar,+磁+声呐,2,ok,35.1477,0.024512,35.1477,0.452205,-0.0200378,0,0,nan,3.24873,13.3544,240,confidence_only
combined,5_fusion_fixed_r,声磁融合(固定R),0,ok,25.99,0.0220777,25.99,0.410278,-0.00627824,0,0,nan,2.5554,11.1794,240,confidence_only
combined,5_fusion_fixed_r,声磁融合(固定R),1,ok,25.9539,0.0225184,25.9539,0.387501,-0.0176415,0,0,nan,2.32002,11.1348,240,confidence_only
combined,5_fusion_fixed_r,声磁融合(固定R),2,ok,35.1477,0.024512,35.1477,0.452205,-0.0200378,0,0,nan,3.24873,13.3544,240,confidence_only
combined,6_fusion_adaptive_r,声磁融合(自适应R),0,ok,21.354,0.0195488,21.354,0.410278,-0.00627824,0,0,nan,1.57477,7.97701,240,confidence_only
combined,6_fusion_adaptive_r,声磁融合(自适应R),1,ok,26.5014,0.0203775,26.5014,0.387501,-0.0176415,0,0,nan,1.47041,7.55388,240,confidence_only
combined,6_fusion_adaptive_r,声磁融合(自适应R),2,ok,35.4831,0.0219177,35.4831,0.452205,-0.0200378,0,0,nan,1.93924,9.4723,240,confidence_only
