run_id,scenario,seed,mpc_mode,status,valid_run,invalid_reason,effective_sample_count,failure_event_count,capability_gate_status,solver_wall_time_current_ms,fallback_type,arm,arm_label,rmse_xy_m,rmse_z_m,rmse_3d_m,depth_equiv_error_m,depth_equiv_bias_m,current_speed_mps,target_loss_ratio,reacquire_success_ratio,mag_nis_mean,mag_nis_p95,mag_updates,sonar_input
sonar_occlusion__seed1,sonar_occlusion,1,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,3_imu_dvl_sonar,+声呐,2.11621694,0.0138549518,2.1162623,nan,nan,0,0.167083333,1,nan,nan,0,confidence_only
sonar_occlusion__seed2,sonar_occlusion,2,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,3_imu_dvl_sonar,+声呐,23.5663282,0.0130351951,23.5663318,nan,nan,0,0.167083333,1,nan,nan,0,confidence_only
sonar_occlusion__seed0,sonar_occlusion,0,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,4_imu_dvl_mag_sonar,+磁+声呐,4.03170297,0.0226350122,4.03176651,0.102887927,0.0139837774,0,0,nan,0.172010019,0.62082994,240,confidence_only
sonar_occlusion__seed1,sonar_occlusion,1,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,4_imu_dvl_mag_sonar,+磁+声呐,11.0641055,0.0117719263,11.0641118,0.104894328,-0.00802384478,0,0,nan,0.16595253,0.639479418,240,confidence_only
sonar_occlusion__seed2,sonar_occlusion,2,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,4_imu_dvl_mag_sonar,+磁+声呐,28.1518803,0.0130550926,28.1518833,0.106370249,-0.0112482905,0,0,nan,0.160761994,0.686344391,240,confidence_only
sonar_occlusion__seed0,sonar_occlusion,0,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,5_fusion_fixed_r,声磁融合(固定R),4.03170297,0.0226350122,4.03176651,0.102887927,0.0139837774,0,0,nan,0.172010019,0.62082994,240,confidence_only
sonar_occlusion__seed1,sonar_occlusion,1,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,5_fusion_fixed_r,声磁融合(固定R),11.0641055,0.0117719263,11.0641118,0.104894328,-0.00802384478,0,0,nan,0.16595253,0.639479418,240,confidence_only
sonar_occlusion__seed2,sonar_occlusion,2,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,5_fusion_fixed_r,声磁融合(固定R),28.1518803,0.0130550926,28.1518833,0.106370249,-0.0112482905,0,0,nan,0.160761994,0.686344391,240,confidence_only
sonar_occlusion__seed0,sonar_occlusion,0,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,6_fusion_adaptive_r,声磁融合(自适应R),4.03170297,0.0226350122,4.03176651,0.102887927,0.0139837774,0,0,nan,0.172010019,0.62082994,240,confidence_only
sonar_occlusion__seed1,sonar_occlusion,1,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,6_fusion_adaptive_r,声磁融合(自适应R),11.0641055,0.0117719263,11.0641118,0.104894328,-0.00802384478,0,0,nan,0.16595253,0.639479418,240,confidence_only
sonar_occlusion__seed2,sonar_occlusion,2,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,6_fusion_adaptive_r,声磁融合(自适应R),28.1518803,0.0130550926,28.1518833,0.106370249,-0.0112482905,0,0,nan,0.160761994,0.686344391,240,confidence_only
mag_weak__seed0,mag_weak,0,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,1_imu_dvl,IMU+DVL,6.64563813,0.0294438382,6.64570336,nan,nan,0,1,0,nan,nan,0,disabled
mag_weak__seed1,mag_weak,1,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,1_imu_dvl,IMU+DVL,32.9874915,0.00966137587,32.9874929,nan,nan,0,1,0,nan,nan,0,disabled
mag_weak__seed2,mag_weak,2,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,1_imu_dvl,IMU+DVL,23.1626284,0.0136108376,23.1626324,nan,nan,0,1,0,nan,nan,0,disabled
mag_weak__seed0,mag_weak,0,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,2_imu_dvl_mag,+磁,16.1083756,0.0296559907,16.1084029,0.30844408,0.0270253129,0,0,nan,2.33595929,8.14942947,240,disabled
mag_weak__seed1,mag_weak,1,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,2_imu_dvl_mag,+磁,35.1795087,0.0240403125,35.1795169,0.309014673,-0.00517971473,0,0,nan,2.31654861,8.71890134,240,disabled
mag_weak__seed2,mag_weak,2,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,2_imu_dvl_mag,+磁,13.6462417,0.0243359716,13.6462634,0.306671079,-0.00884077534,0,0,nan,2.26641487,9.07177454,240,disabled
mag_weak__seed0,mag_weak,0,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,3_imu_dvl_sonar,+声呐,6.64563813,0.0294438382,6.64570336,nan,nan,0,0,nan,nan,nan,0,confidence_only
mag_weak__seed1,mag_weak,1,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,3_imu_dvl_sonar,+声呐,32.9874915,0.00966137587,32.9874929,nan,nan,0,0,nan,nan,nan,0,confidence_only
mag_weak__seed2,mag_weak,2,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,3_imu_dvl_sonar,+声呐,23.1626284,0.0136108376,23.1626324,nan,nan,0,0,nan,nan,nan,0,confidence_only
mag_weak__seed0,mag_weak,0,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,4_imu_dvl_mag_sonar,+磁+声呐,18.3075899,0.0243569152,18.3076061,0.30844408,0.0270253129,0,0,nan,1.89413315,6.73168191,240,confidence_only
mag_weak__seed1,mag_weak,1,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,4_imu_dvl_mag_sonar,+磁+声呐,33.4754069,0.0208275335,33.4754133,0.309014673,-0.00517971473,0,0,nan,1.88511451,7.1474433,240,confidence_only
mag_weak__seed2,mag_weak,2,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,4_imu_dvl_mag_sonar,+磁+声呐,16.8715317,0.0214589274,16.8715454,0.306671079,-0.00884077534,0,0,nan,1.84620404,7.38224414,240,confidence_only
mag_weak__seed0,mag_weak,0,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,5_fusion_fixed_r,声磁融合(固定R),18.3075899,0.0243569152,18.3076061,0.30844408,0.0270253129,0,0,nan,1.89413315,6.73168191,240,confidence_only
mag_weak__seed1,mag_weak,1,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,5_fusion_fixed_r,声磁融合(固定R),33.4754069,0.0208275335,33.4754133,0.309014673,-0.00517971473,0,0,nan,1.88511451,7.1474433,240,confidence_only
mag_weak__seed2,mag_weak,2,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,5_fusion_fixed_r,声磁融合(固定R),16.8715317,0.0214589274,16.8715454,0.306671079,-0.00884077534,0,0,nan,1.84620404,7.38224414,240,confidence_only
mag_weak__seed0,mag_weak,0,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,6_fusion_adaptive_r,声磁融合(自适应R),17.6078981,0.0227416349,17.6079128,0.30844408,0.0270253129,0,0,nan,1.36232633,5.24952237,240,confidence_only
mag_weak__seed1,mag_weak,1,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,6_fusion_adaptive_r,声磁融合(自适应R),33.7014675,0.0191773513,33.7014729,0.309014673,-0.00517971473,0,0,nan,1.31110811,4.51431868,240,confidence_only
