scenario,controller,variant,metric,value
s_turn_long_wave,mpc_preview_speed,xy_v4_short_realtime,yaw_rmse_deg,0.24288925322358007
s_turn_long_wave,mpc_preview_speed,xy_v4_short_realtime,yaw_p95_deg,0.4862560847412077
s_turn_long_wave,mpc_preview_speed,xy_v4_short_realtime,progress_pct,93.31026528258363
s_turn_long_wave,mpc_preview_speed,xy_v4_short_realtime,mean_speed_mps,1.3642560550081824
s_turn_long_wave,mpc_preview_speed,xy_v4_short_realtime,cmd_smoothness_deg2,739.3903483138081
s_turn_long_wave,mpc_preview_speed,xy_v4_short_realtime,solve_success_rate,1.0
s_turn_long_wave,mpc_preview_speed,xy_v4_short_realtime,mean_solve_ms,6.777732920018025
s_turn_long_wave,mpc_preview_speed,xy_v4_short_realtime,max_solve_ms,20.91287500297767
s_turn_long_wave,mpc_preview_speed,xy_v5_yaw_strict,lateral_rmse_m,0.0600187729254168
s_turn_long_wave,mpc_preview_speed,xy_v5_yaw_strict,lateral_p95_m,0.08757022879013622
s_turn_long_wave,mpc_preview_speed,xy_v5_yaw_strict,lateral_max_m,0.09378334979256542
s_turn_long_wave,mpc_preview_speed,xy_v5_yaw_strict,yaw_rmse_deg,0.2559564193046293
s_turn_long_wave,mpc_preview_speed,xy_v5_yaw_strict,yaw_p95_deg,0.4768761791636149
s_turn_long_wave,mpc_preview_speed,xy_v5_yaw_strict,progress_pct,92.96424452133795
s_turn_long_wave,mpc_preview_speed,xy_v5_yaw_strict,mean_speed_mps,1.358503858995802
s_turn_long_wave,mpc_preview_speed,xy_v5_yaw_strict,cmd_smoothness_deg2,734.6689517356834
s_turn_long_wave,mpc_preview_speed,xy_v5_yaw_strict,solve_success_rate,1.0
s_turn_long_wave,mpc_preview_speed,xy_v5_yaw_strict,mean_solve_ms,8.286378175995196
s_turn_long_wave,mpc_preview_speed,xy_v5_yaw_strict,max_solve_ms,21.58400000189431
s_turn_short_wave,pid_yaw_only_fixed_speed,baseline,lateral_rmse_m,2.5965191738651403
s_turn_short_wave,pid_yaw_only_fixed_speed,baseline,lateral_p95_m,4.87388490706364
s_turn_short_wave,pid_yaw_only_fixed_speed,baseline,lateral_max_m,5.398577877283212
s_turn_short_wave,pid_yaw_only_fixed_speed,baseline,yaw_rmse_deg,58.50870160670502
s_turn_short_wave,pid_yaw_only_fixed_speed,baseline,yaw_p95_deg,100.83738606169312
s_turn_short_wave,pid_yaw_only_fixed_speed,baseline,progress_pct,91.98966408268734
s_turn_short_wave,pid_yaw_only_fixed_speed,baseline,mean_speed_mps,1.35
s_turn_short_wave,pid_yaw_only_fixed_speed,baseline,cmd_smoothness_deg2,3214.503931028034
s_turn_short_wave,pid_yaw_only_fixed_speed,baseline,solve_success_rate,1.0
s_turn_short_wave,pid_yaw_only_fixed_speed,baseline,mean_solve_ms,0.0
s_turn_short_wave,pid_yaw_only_fixed_speed,baseline,max_solve_ms,0.0
s_turn_short_wave,pid_los_fixed_speed,strong_baseline,lateral_rmse_m,1.657430143237024
s_turn_short_wave,pid_los_fixed_speed,strong_baseline,lateral_p95_m,3.588576116049859
s_turn_short_wave,pid_los_fixed_speed,strong_baseline,lateral_max_m,4.182685903606177
s_turn_short_wave,pid_los_fixed_speed,strong_baseline,yaw_rmse_deg,58.81973536021718
s_turn_short_wave,pid_los_fixed_speed,strong_baseline,yaw_p95_deg,88.2167887555327
s_turn_short_wave,pid_los_fixed_speed,strong_baseline,progress_pct,86.56330749354005
s_turn_short_wave,pid_los_fixed_speed,strong_baseline,mean_speed_mps,1.35
s_turn_short_wave,pid_los_fixed_speed,strong_baseline,cmd_smoothness_deg2,3408.1046010326413
s_turn_short_wave,pid_los_fixed_speed,strong_baseline,solve_success_rate,1.0
s_turn_short_wave,pid_los_fixed_speed,strong_baseline,mean_solve_ms,0.0
s_turn_short_wave,pid_los_fixed_speed,strong_baseline,max_solve_ms,0.0
s_turn_short_wave,mpc_preview_speed,xy_v1_balanced,lateral_rmse_m,1.7554273482859453
s_turn_short_wave,mpc_preview_speed,xy_v1_balanced,lateral_p95_m,3.251954867210342
s_turn_short_wave,mpc_preview_speed,xy_v1_balanced,lateral_max_m,3.716883659127403
s_turn_short_wave,mpc_preview_speed,xy_v1_balanced,yaw_rmse_deg,66.20939848956138
s_turn_short_wave,mpc_preview_speed,xy_v1_balanced,yaw_p95_deg,112.37509207594373
s_turn_short_wave,mpc_preview_speed,xy_v1_balanced,progress_pct,56.84754521963824
s_turn_short_wave,mpc_preview_speed,xy_v1_balanced,mean_speed_mps,0.9349463469823317
s_turn_short_wave,mpc_preview_speed,xy_v1_balanced,cmd_smoothness_deg2,1056.1964382265326
s_turn_short_wave,mpc_preview_speed,xy_v1_balanced,solve_success_rate,1.0
