scenario,controller,variant,seed,lateral_rmse_m,lateral_p95_m,yaw_rmse_deg,solve_success_rate,current_x_mps,current_y_mps,lateral_offset_m,yaw_noise_std_deg
s_turn_long_wave,pid_yaw_only_fixed_speed,baseline,0,2.473670977908343,4.195177201106006,0.47918231023485086,1.0,0.05019134568652066,0.05836561200784218,-0.7344423617020885,0.02479145329279364
s_turn_long_wave,pid_los_fixed_speed,baseline,0,1.10319148123356,1.9053020746733875,5.33633359059594,1.0,0.05019134568652066,0.05836561200784218,-0.7344423617020885,0.02479145329279364
s_turn_long_wave,mpc_preview_speed,xy_v4_short_realtime,0,0.12527633294375326,0.1445696337024898,2.782600106541339,1.0,0.05019134568652066,0.05836561200784218,-0.7344423617020885,0.02479145329279364
s_turn_long_wave,pid_yaw_only_fixed_speed,baseline,1,0.7219917970900782,1.0594221962770145,1.9072014108067576,1.0,0.144646432932703,0.010763771803601609,-0.5693446196485861,1.4229741707058658
s_turn_long_wave,pid_los_fixed_speed,baseline,1,1.4086333768196333,1.7658535425202493,13.012626815931409,1.0,0.144646432932703,0.010763771803601609,-0.5693446196485861,1.4229741707058658
s_turn_long_wave,mpc_preview_speed,xy_v4_short_realtime,1,0.1888962561950207,0.19141234856068348,3.91805185954386,1.0,0.144646432932703,0.010763771803601609,-0.5693446196485861,1.4229741707058658
s_turn_long_wave,pid_yaw_only_fixed_speed,baseline,2,3.6033326989846857,6.2312071984357935,0.49884217978744244,1.0,0.005820719024212909,-0.07963667679624198,0.5027611849508486,0.13787391320264536
s_turn_long_wave,pid_los_fixed_speed,baseline,2,1.0918739058083984,1.9720389831510534,6.611470875010458,1.0,0.005820719024212909,-0.07963667679624198,0.5027611849508486,0.13787391320264536
s_turn_long_wave,mpc_preview_speed,xy_v4_short_realtime,2,0.12028506634002978,0.1542321612533431,3.092636208172871,1.0,0.005820719024212909,-0.07963667679624198,0.5027611849508486,0.13787391320264536
s_turn_long_wave,pid_yaw_only_fixed_speed,baseline,3,1.4939119584275473,2.8661396271691215,1.0663760061204686,1.0,-0.06326686600296992,-0.03776507503588814,0.482039144330235,0.8732430540965517
s_turn_long_wave,pid_los_fixed_speed,baseline,3,1.059890510563696,1.7142102720941492,6.961241724076121,1.0,-0.06326686600296992,-0.03776507503588814,0.482039144330235,0.8732430540965517
s_turn_long_wave,mpc_preview_speed,xy_v4_short_realtime,3,0.09807344276044977,0.13083821662023093,2.444267158022758,1.0,-0.06326686600296992,-0.03776507503588814,0.482039144330235,0.8732430540965517
s_turn_long_wave,pid_yaw_only_fixed_speed,baseline,4,2.591584235162605,3.6006059631228724,0.4615505141387158,1.0,-0.09472836169123805,0.03541711001915368,0.7619899291323267,0.12125403584340329
